Date Range,Clicks,Impressions,CTR,Position
2025-12-08 - 2025-12-13,109,5640,1.93%,12.2
2025-12-14 - 2025-12-20,118,6503,1.81%,11.5
2025-12-21 - 2025-12-27,103,5742,1.79%,12.6
2025-12-28 - 2026-01-03,93,6135,1.52%,12.5
2026-01-04 - 2026-01-10,157,9325,1.68%,13.1
2026-01-11 - 2026-01-17,163,11769,1.38%,13
2026-01-18 - 2026-01-24,188,14305,1.31%,12.6
2026-01-25 - 2026-01-31,222,11112,2%,11.4
2026-02-01 - 2026-02-07,203,15213,1.33%,9.4
2026-02-08 - 2026-02-14,171,14041,1.22%,11.5
2026-02-15 - 2026-02-21,191,14333,1.33%,11.1
2026-02-22 - 2026-02-28,156,14928,1.05%,10.1
2026-03-01 - 2026-03-07,127,8576,1.48%,9.6